"client_id","age","gender","city"
3462,56,M,г. Москва
3465,18,F,г. Москва
3469,18,F,г. Москва
3474,20,F,г. Москва
4766,34,F,г. Москва
5640,69,M,г. Москва
3483,32,F,г. Москва
3487,20,F,г. Москва
3492,25,M,г. Москва
3500,34,M,г. Москва
5657,24,F,г. Москва
3505,32,F,г. Москва
3509,21,F,г. Москва
3841,26,F,г. Москва
3520,26,F,г. Москва
3522,24,F,г. Москва
3525,31,F,г. Москва
4821,29,M,г. Москва
3535,27,M,г. Москва
3864,19,F,г. Москва
4834,60,M,г. Москва
3541,23,M,г. Москва
5683,17,F,г. Москва
3550,18,F,г. Москва
3558,37,M,г. Москва
3562,25,M,г. Москва
3582,34,F,г. Москва
3595,23,M,г. Москва
3597,21,F,г. Москва
3598,24,M,г. Москва
3925,30,F,г. Москва
3600,24,F,г. Москва
3605,23,M,г. Москва
147,24,F,г. Москва
3610,25,F,г. Москва
3945,24,M,г. Москва
4954,18,M,г. Москва
3624,53,F,г. Москва
3632,25,F,г. Москва
3638,16,F,г. Москва
3642,18,M,г. Москва
3976,41,M,г. Москва
3647,33,F,г. Москва
3979,52,F,г. Москва
3982,25,F,г. Москва
3653,31,M,г. Москва
3655,22,F,г. Москва
4971,28,F,г. Москва
3658,20,F,г. Москва
3663,18,F,г. Москва
3670,18,M,г. Москва
3681,55,F,г. Москва
3682,16,F,г. Москва
3683,24,F,г. Москва
3686,25,F,г. Москва
4008,19,F,г. Москва
3695,44,M,г. Москва
3696,30,F,г. Москва
3697,18,M,г. Москва
3700,19,M,г. Москва
3711,42,F,г. Москва
3716,32,M,г. Москва
3719,29,F,г. Москва
3733,22,F,г. Москва
3734,34,F,г. Москва
5059,29,M,г. Москва
3745,25,F,г. Москва
3747,30,M,г. Москва
3754,21,M,г. Москва
3755,30,F,г. Москва
3762,28,F,г. Москва
3764,28,F,г. Москва
3765,33,F,г. Москва
3766,26,F,г. Москва
3770,25,M,г. Москва
5088,47,F,г. Москва
4106,42,F,г. Москва
5108,20,F,г. Москва
4137,28,F,г. Москва
4139,20,M,г. Москва
3803,24,F,г. Москва
3804,19,M,г. Москва
3805,33,F,г. Москва
3823,65,F,г. Москва
23,20,F,г. Москва
1030,42,M,г. Москва
3835,26,F,г. Москва
3846,26,M,г. Москва
46,17,F,г. Москва
52,28,F,г. Москва
3853,21,M,г. Москва
3856,20,F,г. Москва
3858,18,M,г. Москва
1082,22,F,г. Москва
964,33,F,г. Москва
965,27,F,г. Москва
968,60,M,г. Москва
969,26,F,г. Москва
973,23,M,г. Москва
979,58,F,г. Москва
982,27,F,г. Москва
986,22,F,г. Москва
994,29,F,г. Москва
997,22,M,г. Москва
1005,18,F,г. Москва
1006,23,F,г. Москва
1017,23,M,г. Москва
1023,23,F,г. Москва
1024,22,M,г. Москва
1025,24,M,г. Москва
1028,30,M,г. Москва
1032,19,M,г. Москва
1033,27,M,г. Москва
1037,60,F,г. Москва
1040,18,F,г. Москва
1047,16,F,г. Москва
1052,18,F,г. Москва
1056,52,F,г. Москва
1059,21,M,г. Москва
1062,62,F,г. Москва
1065,16,M,г. Москва
1068,65,M,г. Москва
1070,27,M,г. Москва
1071,33,F,г. Москва
1072,21,F,г. Москва
1073,23,F,г. Москва
1074,23,M,г. Москва
1079,26,M,г. Москва
1085,22,F,г. Москва
1087,30,M,г. Москва
4250,30,F,г. Москва
5295,55,M,г. Москва
3898,30,M,г. Москва
1161,22,F,г. Москва
3909,51,F,г. Москва
3913,34,F,г. Москва
3919,25,M,г. Москва
3922,34,M,г. Москва
3924,24,F,г. Москва
3930,65,F,г. Москва
3931,24,F,г. Москва
3937,24,F,г. Москва
3942,19,M,г. Москва
4297,31,M,г. Москва
4299,34,F,г. Москва
3949,18,M,г. Москва
3950,27,F,г. Москва
3953,30,M,г. Москва
3955,47,F,г. Москва
1224,49,F,г. Москва
3958,23,F,г. Москва
4321,24,F,г. Москва
3960,19,F,г. Москва
5386,18,M,г. Москва
4333,18,M,г. Москва
3978,18,F,г. Москва
3981,29,F,г. Москва
4342,21,F,г. Москва
3985,19,M,г. Москва
3990,24,F,г. Москва
3991,34,F,г. Москва
4362,22,M,г. Москва
4006,60,F,г. Москва
4024,29,F,г. Москва
4385,23,F,г. Москва
4386,34,M,г. Москва
4035,27,F,г. Москва
4037,32,M,г. Москва
4038,58,F,г. Москва
4042,22,F,г. Москва
4399,48,F,г. Москва
4046,32,F,г. Москва
4056,20,F,г. Москва
4440,34,F,г. Москва
4064,26,M,г. Москва
4065,22,F,г. Москва
5462,17,M,г. Москва
4456,18,F,г. Москва
4073,61,M,г. Москва
4080,60,M,г. Москва
4086,17,F,г. Москва
4091,69,M,г. Москва
4092,20,M,г. Москва
1368,31,M,г. Москва
4096,33,M,г. Москва
4097,24,F,г. Москва
4098,18,F,г. Москва
4100,30,M,г. Москва
4101,19,F,г. Москва
4105,19,F,г. Москва
1381,32,F,г. Москва
5497,28,F,г. Москва
4118,69,M,г. Москва
4129,18,F,г. Москва
4132,50,F,г. Москва
4135,25,F,г. Москва
4136,36,F,г. Москва
1411,31,F,г. Москва
4141,19,F,г. Москва
4143,27,F,г. Москва
4146,20,M,г. Москва
4147,34,F,г. Москва
4152,26,F,г. Москва
4156,29,F,г. Москва
4161,30,F,г. Москва
4162,27,M,г. Москва
4579,23,M,г. Москва
4580,31,M,г. Москва
4177,25,M,г. Москва
4181,20,F,г. Москва
4182,35,M,г. Москва
4590,39,F,г. Москва
4189,39,F,г. Москва
4196,25,M,г. Москва
4207,21,F,г. Москва
5607,24,F,г. Москва
4209,50,F,г. Москва
1521,38,M,г. Москва
4626,25,M,г. Москва
4631,26,M,г. Москва
4219,66,F,г. Москва
4224,46,F,г. Москва
5620,21,M,г. Москва
4229,37,F,г. Москва
4232,24,F,г. Москва
4247,23,F,г. Москва
4251,24,M,г. Москва
4661,22,M,г. Москва
4271,26,F,г. Москва
5674,28,F,г. Москва
4283,23,F,г. Москва
4284,36,F,г. Москва
4287,32,M,г. Москва
1669,32,F,г. Москва
1670,18,F,г. Москва
4302,54,M,г. Москва
4304,43,M,г. Москва
5713,21,F,г. Москва
1689,23,F,г. Москва
69,25,F,г. Москва
4326,20,M,г. Москва
645,40,F,г. Москва
647,24,M,г. Москва
4340,22,M,г. Москва
4346,25,M,г. Москва
105,20,M,г. Москва
4350,18,M,г. Москва
4762,23,F,г. Москва
4357,26,F,г. Москва
4359,60,M,г. Москва
4360,21,M,г. Москва
4366,23,F,г. Москва
4368,23,F,г. Москва
4369,23,F,г. Москва
119,19,F,г. Москва
4383,20,M,г. Москва
138,55,F,г. Москва
1695,39,F,г. Москва
4390,25,F,г. Москва
4391,22,F,г. Москва
640,19,M,г. Москва
4393,20,F,г. Москва
4396,24,F,г. Москва
644,22,F,г. Москва
4406,18,F,г. Москва
4407,19,M,г. Москва
4411,16,F,г. Москва
4412,34,F,г. Москва
4413,21,F,г. Москва
4414,23,M,г. Москва
4431,34,F,г. Москва
4434,31,F,г. Москва
4436,34,F,г. Москва
4439,69,F,г. Москва
4443,53,M,г. Москва
4451,25,M,г. Москва
4851,24,F,г. Москва
4457,22,F,г. Москва
4464,27,F,г. Москва
4468,19,F,г. Москва
1702,17,F,г. Москва
4476,22,F,г. Москва
4481,28,F,г. Москва
4495,20,M,г. Москва
4501,22,F,г. Москва
4503,30,F,г. Москва
4523,19,F,г. Москва
4527,29,F,г. Москва
772,25,M,г. Москва
4530,34,F,г. Москва
4537,29,M,г. Москва
4935,21,F,г. Москва
4554,32,F,г. Москва
4555,34,F,г. Москва
4557,23,M,г. Москва
4559,18,M,г. Москва
1818,26,M,г. Москва
823,28,F,г. Москва
4562,21,F,г. Москва
1694,18,F,г. Москва
4564,22,M,г. Москва
4952,21,F,г. Москва
1697,22,F,г. Москва
1698,22,F,г. Москва
1704,20,F,г. Москва
1718,18,F,г. Москва
1721,37,F,г. Москва
1723,41,F,г. Москва
1724,28,F,г. Москва
1726,21,M,г. Москва
1728,18,M,г. Москва
